date,day,district,month,pet_mm,precip_mm,year
2018-07-22,22,Itezhi-Tezhi,7,-10.225410980859529,-999.0,2018
2018-07-23,23,Itezhi-Tezhi,7,-9.773254793500795,-999.0,2018
2018-07-24,24,Itezhi-Tezhi,7,-8.22784051831201,-999.0,2018
2018-07-25,25,Itezhi-Tezhi,7,-8.90742194134776,-999.0,2018
2018-07-26,26,Itezhi-Tezhi,7,-9.20639946787422,-999.0,2018
2018-07-27,27,Itezhi-Tezhi,7,-7.937990852016449,-999.0,2018
2018-07-28,28,Itezhi-Tezhi,7,-7.911181749468815,-999.0,2018
2018-07-29,29,Itezhi-Tezhi,7,-8.644813060456437,-999.0,2018
2018-07-30,30,Itezhi-Tezhi,7,-9.203483326710398,-999.0,2018
2018-07-31,31,Itezhi-Tezhi,7,-10.00320224634996,-999.0,2018
2018-08-01,1,Itezhi-Tezhi,8,-9.755449035555554,-999.0,2018
2018-08-02,2,Itezhi-Tezhi,8,-9.607478565855908,-999.0,2018
2018-08-03,3,Itezhi-Tezhi,8,-11.88355666484948,-999.0,2018
2018-08-04,4,Itezhi-Tezhi,8,-12.888302358953045,-999.0,2018
2018-08-05,5,Itezhi-Tezhi,8,-10.278356840535066,-999.0,2018
2018-08-06,6,Itezhi-Tezhi,8,-10.579237903513928,-999.0,2018
2018-08-07,7,Itezhi-Tezhi,8,-11.022143096906667,-999.0,2018
2018-08-08,8,Itezhi-Tezhi,8,-11.964380045339334,-999.0,2018
2018-08-09,9,Itezhi-Tezhi,8,-13.58327991258419,-999.0,2018
2018-08-10,10,Itezhi-Tezhi,8,-12.070642305683108,-999.0,2018
2018-08-11,11,Itezhi-Tezhi,8,-11.85741146389133,-999.0,2018
2018-08-12,12,Itezhi-Tezhi,8,-12.53846623226475,-999.0,2018
2018-08-13,13,Itezhi-Tezhi,8,-12.724111392218347,-999.0,2018
2018-08-14,14,Itezhi-Tezhi,8,-12.44216941467759,-999.0,2018
2018-08-15,15,Itezhi-Tezhi,8,-11.510924460950266,-999.0,2018
2018-08-16,16,Itezhi-Tezhi,8,-11.502252272938374,0.00028630234338305365,2018
2018-08-17,17,Itezhi-Tezhi,8,-10.476244621492262,0.0030519017155239,2018
2018-08-18,18,Itezhi-Tezhi,8,-12.419064695413365,0.0140712735354913,2018
2018-08-19,19,Itezhi-Tezhi,8,-12.863150491774029,0.0007650714043776795,2018
2018-08-20,20,Itezhi-Tezhi,8,-11.851902749823642,0.0050803336816391,2018
2018-08-21,21,Itezhi-Tezhi,8,-11.615820522568535,-999.0,2018
2018-08-22,22,Itezhi-Tezhi,8,-11.089851925357117,-999.0,2018
2018-08-23,23,Itezhi-Tezhi,8,-11.0801166884705,-999.0,2018
2018-08-24,24,Itezhi-Tezhi,8,-12.814734029048584,-999.0,2018
2018-08-25,25,Itezhi-Tezhi,8,-13.28059107704958,-999.0,2018
2018-08-26,26,Itezhi-Tezhi,8,-11.673584895466789,-999.0,2018
2018-08-27,27,Itezhi-Tezhi,8,-11.596435480127566,-999.0,2018
2018-08-28,28,Itezhi-Tezhi,8,-12.882004034054134,-999.0,2018
2018-08-29,29,Itezhi-Tezhi,8,-13.274570396071429,-999.0,2018
2018-08-30,30,Itezhi-Tezhi,8,-12.188662021163218,-999.0,2018
2018-08-31,31,Itezhi-Tezhi,8,-12.727908831853954,-999.0,2018
2018-09-01,1,Itezhi-Tezhi,9,-12.358260670616351,-999.0,2018
2018-09-02,2,Itezhi-Tezhi,9,-11.378366310870364,-999.0,2018
2018-09-03,3,Itezhi-Tezhi,9,-12.2332496719767,-999.0,2018
2018-09-04,4,Itezhi-Tezhi,9,-13.955377813869028,-999.0,2018
2018-09-05,5,Itezhi-Tezhi,9,-13.662592095719988,-999.0,2018
2018-09-06,6,Itezhi-Tezhi,9,-12.859736530421822,-999.0,2018
2018-09-07,7,Itezhi-Tezhi,9,-12.972311449568329,-999.0,2018
2018-09-08,8,Itezhi-Tezhi,9,-11.233316581249516,0.0020277610962793,2018
2018-09-09,9,Itezhi-Tezhi,9,-13.383975227518592,-999.0,2018
2018-09-10,10,Itezhi-Tezhi,9,-13.565845901987254,-999.0,2018
2018-09-11,11,Itezhi-Tezhi,9,-12.557864396981206,-999.0,2018
